model,input_text,generated_token
meta-llama/Llama-3.2-1B,In 1950 there, were
meta-llama/Llama-3.2-1B,In 1951 there, were
meta-llama/Llama-3.2-1B,In 1952 there, were
meta-llama/Llama-3.2-1B,In 1953 there, were
meta-llama/Llama-3.2-1B,In 1954 there, were
meta-llama/Llama-3.2-1B,In 1955 there, were
meta-llama/Llama-3.2-1B,In 1956 there, were
meta-llama/Llama-3.2-1B,In 1957 there, were
meta-llama/Llama-3.2-1B,In 1958 there, were
meta-llama/Llama-3.2-1B,In 1959 there, was
meta-llama/Llama-3.2-1B,In 1960 there, were
meta-llama/Llama-3.2-1B,In 1961 there, were
meta-llama/Llama-3.2-1B,In 1962 there, was
meta-llama/Llama-3.2-1B,In 1963 there, was
meta-llama/Llama-3.2-1B,In 1964 there, was
meta-llama/Llama-3.2-1B,In 1965 there, was
meta-llama/Llama-3.2-1B,In 1966 there, was
meta-llama/Llama-3.2-1B,In 1967 there, were
meta-llama/Llama-3.2-1B,In 1968 there, was
meta-llama/Llama-3.2-1B,In 1969 there, were
meta-llama/Llama-3.2-1B,In 1970 there, was
meta-llama/Llama-3.2-1B,In 1971 there, was
meta-llama/Llama-3.2-1B,In 1972 there, were
meta-llama/Llama-3.2-1B,In 1973 there, was
meta-llama/Llama-3.2-1B,In 1974 there, was
meta-llama/Llama-3.2-1B,In 1975 there, was
meta-llama/Llama-3.2-1B,In 1976 there, was
meta-llama/Llama-3.2-1B,In 1977 there, was
meta-llama/Llama-3.2-1B,In 1978 there, were
meta-llama/Llama-3.2-1B,In 1979 there, was
meta-llama/Llama-3.2-1B,In 1980 there, was
meta-llama/Llama-3.2-1B,In 1981 there, was
meta-llama/Llama-3.2-1B,In 1982 there, was
meta-llama/Llama-3.2-1B,In 1983 there, was
meta-llama/Llama-3.2-1B,In 1984 there, was
meta-llama/Llama-3.2-1B,In 1985 there, were
meta-llama/Llama-3.2-1B,In 1986 there, was
meta-llama/Llama-3.2-1B,In 1987 there, were
meta-llama/Llama-3.2-1B,In 1988 there, were
meta-llama/Llama-3.2-1B,In 1989 there, was
meta-llama/Llama-3.2-1B,In 1990 there, was
meta-llama/Llama-3.2-1B,In 1991 there, were
meta-llama/Llama-3.2-1B,In 1992 there, was
meta-llama/Llama-3.2-1B,In 1993 there, was
meta-llama/Llama-3.2-1B,In 1994 there, was
meta-llama/Llama-3.2-1B,In 1995 there, were
meta-llama/Llama-3.2-1B,In 1996 there, were
meta-llama/Llama-3.2-1B,In 1997 there, were
meta-llama/Llama-3.2-1B,In 1998 there, were
meta-llama/Llama-3.2-1B,In 1999 there, was
meta-llama/Llama-3.2-1B,In 2000 there, were
meta-llama/Llama-3.2-1B,In 2001 there, was
meta-llama/Llama-3.2-1B,In 2002 there, were
meta-llama/Llama-3.2-1B,In 2003 there, was
meta-llama/Llama-3.2-1B,In 2004 there, was
meta-llama/Llama-3.2-1B,In 2005 there, was
meta-llama/Llama-3.2-1B,In 2006 there, were
meta-llama/Llama-3.2-1B,In 2007 there, was
meta-llama/Llama-3.2-1B,In 2008 there, was
meta-llama/Llama-3.2-1B,In 2009 there, were
meta-llama/Llama-3.2-1B,In 2010 there, was
meta-llama/Llama-3.2-1B,In 2011 there, was
meta-llama/Llama-3.2-1B,In 2012 there, were
meta-llama/Llama-3.2-1B,In 2013 there, were
meta-llama/Llama-3.2-1B,In 2014 there, were
meta-llama/Llama-3.2-1B,In 2015 there, were
meta-llama/Llama-3.2-1B,In 2016 there, were
meta-llama/Llama-3.2-1B,In 2017 there, was
meta-llama/Llama-3.2-1B,In 2018 there, were
meta-llama/Llama-3.2-1B,In 2019 there, were
meta-llama/Llama-3.2-1B,In 2020 there, were
meta-llama/Llama-3.2-1B,In 2021 there, are
meta-llama/Llama-3.2-1B,In 2022 there, were
meta-llama/Llama-3.2-1B,In 2023 there, is
meta-llama/Llama-3.2-1B,In 2024 there, will
meta-llama/Llama-3.2-1B,In 2025 there, will
meta-llama/Llama-3.2-1B,In 2026 there, will
meta-llama/Llama-3.2-1B,In 2027 there, will
meta-llama/Llama-3.2-1B,In 2028 there, will
meta-llama/Llama-3.2-1B,In 2029 there, will
meta-llama/Llama-3.2-1B,In 2030 there, will
meta-llama/Llama-3.2-1B,In 2031 there, will
meta-llama/Llama-3.2-1B,In 2032 there, will
meta-llama/Llama-3.2-1B,In 2033 there, is
meta-llama/Llama-3.2-1B,In 2034 there, are
meta-llama/Llama-3.2-1B,In 2035 there, will
meta-llama/Llama-3.2-1B,In 2036 there, will
meta-llama/Llama-3.2-1B,In 2037 there, is
meta-llama/Llama-3.2-1B,In 2038 there, is
meta-llama/Llama-3.2-1B,In 2039 there, is
meta-llama/Llama-3.2-1B,In 2040 there, are
meta-llama/Llama-3.2-1B,In 2041 there, will
meta-llama/Llama-3.2-1B,In 2042 there, will
meta-llama/Llama-3.2-1B,In 2043 there, is
meta-llama/Llama-3.2-1B,In 2044 there, is
meta-llama/Llama-3.2-1B,In 2045 there, is
meta-llama/Llama-3.2-1B,In 2046 there, is
meta-llama/Llama-3.2-1B,In 2047 there, will
meta-llama/Llama-3.2-1B,In 2048 there, will
meta-llama/Llama-3.2-1B,In 2049 there, is
meta-llama/Llama-3.2-1B,In 2050 there, will
meta-llama/Llama-3.2-1B,"In 1950, they", were
meta-llama/Llama-3.2-1B,"In 1951, they", were
meta-llama/Llama-3.2-1B,"In 1952, they", started
meta-llama/Llama-3.2-1B,"In 1953, they", were
