model,input_text,generated_token
allenai/OLMo-1B-hf,In 1950 there, were
allenai/OLMo-1B-hf,In 1951 there, were
allenai/OLMo-1B-hf,In 1952 there, was
allenai/OLMo-1B-hf,In 1953 there, was
allenai/OLMo-1B-hf,In 1954 there, was
allenai/OLMo-1B-hf,In 1955 there, were
allenai/OLMo-1B-hf,In 1956 there, was
allenai/OLMo-1B-hf,In 1957 there, was
allenai/OLMo-1B-hf,In 1958 there, were
allenai/OLMo-1B-hf,In 1959 there, were
allenai/OLMo-1B-hf,In 1960 there, were
allenai/OLMo-1B-hf,In 1961 there, were
allenai/OLMo-1B-hf,In 1962 there, was
allenai/OLMo-1B-hf,In 1963 there, was
allenai/OLMo-1B-hf,In 1964 there, was
allenai/OLMo-1B-hf,In 1965 there, were
allenai/OLMo-1B-hf,In 1966 there, was
allenai/OLMo-1B-hf,In 1967 there, was
allenai/OLMo-1B-hf,In 1968 there, was
allenai/OLMo-1B-hf,In 1969 there, was
allenai/OLMo-1B-hf,In 1970 there, were
allenai/OLMo-1B-hf,In 1971 there, was
allenai/OLMo-1B-hf,In 1972 there, was
allenai/OLMo-1B-hf,In 1973 there, was
allenai/OLMo-1B-hf,In 1974 there, was
allenai/OLMo-1B-hf,In 1975 there, were
allenai/OLMo-1B-hf,In 1976 there, was
allenai/OLMo-1B-hf,In 1977 there, was
allenai/OLMo-1B-hf,In 1978 there, were
allenai/OLMo-1B-hf,In 1979 there, were
allenai/OLMo-1B-hf,In 1980 there, were
allenai/OLMo-1B-hf,In 1981 there, were
allenai/OLMo-1B-hf,In 1982 there, were
allenai/OLMo-1B-hf,In 1983 there, was
allenai/OLMo-1B-hf,In 1984 there, was
allenai/OLMo-1B-hf,In 1985 there, were
allenai/OLMo-1B-hf,In 1986 there, were
allenai/OLMo-1B-hf,In 1987 there, were
allenai/OLMo-1B-hf,In 1988 there, were
allenai/OLMo-1B-hf,In 1989 there, were
allenai/OLMo-1B-hf,In 1990 there, were
allenai/OLMo-1B-hf,In 1991 there, were
allenai/OLMo-1B-hf,In 1992 there, were
allenai/OLMo-1B-hf,In 1993 there, were
allenai/OLMo-1B-hf,In 1994 there, was
allenai/OLMo-1B-hf,In 1995 there, were
allenai/OLMo-1B-hf,In 1996 there, were
allenai/OLMo-1B-hf,In 1997 there, were
allenai/OLMo-1B-hf,In 1998 there, were
allenai/OLMo-1B-hf,In 1999 there, were
allenai/OLMo-1B-hf,In 2000 there, were
allenai/OLMo-1B-hf,In 2001 there, were
allenai/OLMo-1B-hf,In 2002 there, were
allenai/OLMo-1B-hf,In 2003 there, were
allenai/OLMo-1B-hf,In 2004 there, were
allenai/OLMo-1B-hf,In 2005 there, were
allenai/OLMo-1B-hf,In 2006 there, were
allenai/OLMo-1B-hf,In 2007 there, were
allenai/OLMo-1B-hf,In 2008 there, were
allenai/OLMo-1B-hf,In 2009 there, were
allenai/OLMo-1B-hf,In 2010 there, were
allenai/OLMo-1B-hf,In 2011 there, were
allenai/OLMo-1B-hf,In 2012 there, were
allenai/OLMo-1B-hf,In 2013 there, were
allenai/OLMo-1B-hf,In 2014 there, were
allenai/OLMo-1B-hf,In 2015 there, were
allenai/OLMo-1B-hf,In 2016 there, were
allenai/OLMo-1B-hf,In 2017 there, were
allenai/OLMo-1B-hf,In 2018 there, were
allenai/OLMo-1B-hf,In 2019 there, were
allenai/OLMo-1B-hf,In 2020 there, were
allenai/OLMo-1B-hf,In 2021 there, were
allenai/OLMo-1B-hf,In 2022 there, will
allenai/OLMo-1B-hf,In 2023 there, will
allenai/OLMo-1B-hf,In 2024 there, will
allenai/OLMo-1B-hf,In 2025 there, will
allenai/OLMo-1B-hf,In 2026 there, will
allenai/OLMo-1B-hf,In 2027 there, will
allenai/OLMo-1B-hf,In 2028 there, will
allenai/OLMo-1B-hf,In 2029 there, will
allenai/OLMo-1B-hf,In 2030 there, will
allenai/OLMo-1B-hf,In 2031 there, will
allenai/OLMo-1B-hf,In 2032 there, will
allenai/OLMo-1B-hf,In 2033 there, will
allenai/OLMo-1B-hf,In 2034 there, will
allenai/OLMo-1B-hf,In 2035 there, will
allenai/OLMo-1B-hf,In 2036 there, will
allenai/OLMo-1B-hf,In 2037 there, will
allenai/OLMo-1B-hf,In 2038 there, will
allenai/OLMo-1B-hf,In 2039 there, will
allenai/OLMo-1B-hf,In 2040 there, will
allenai/OLMo-1B-hf,In 2041 there, will
allenai/OLMo-1B-hf,In 2042 there, will
allenai/OLMo-1B-hf,In 2043 there, will
allenai/OLMo-1B-hf,In 2044 there, will
allenai/OLMo-1B-hf,In 2045 there, will
allenai/OLMo-1B-hf,In 2046 there, will
allenai/OLMo-1B-hf,In 2047 there, will
allenai/OLMo-1B-hf,In 2048 there, will
allenai/OLMo-1B-hf,In 2049 there, will
allenai/OLMo-1B-hf,In 2050 there, will
allenai/OLMo-1B-hf,"In 1950, they", were
allenai/OLMo-1B-hf,"In 1951, they", were
allenai/OLMo-1B-hf,"In 1952, they", were
allenai/OLMo-1B-hf,"In 1953, they", were
allenai/OLMo-1B-hf,"In 1954, they", were
allenai/OLMo-1B-hf,"In 1955, they", were
allenai/OLMo-1B-hf,"In 1956, they", were
allenai/OLMo-1B-hf,"In 1957, they", were
allenai/OLMo-1B-hf,"In 1958, they", were
allenai/OLMo-1B-hf,"In 1959, they", were
allenai/OLMo-1B-hf,"In 1960, they", were
allenai/OLMo-1B-hf,"In 1961, they", were
allenai/OLMo-1B-hf,"In 1962, they", were
allenai/OLMo-1B-hf,"In 1963, they", were
allenai/OLMo-1B-hf,"In 1964, they", were
allenai/OLMo-1B-hf,"In 1965, they", were
allenai/OLMo-1B-hf,"In 1966, they", were
allenai/OLMo-1B-hf,"In 1967, they", were
allenai/OLMo-1B-hf,"In 1968, they", were
allenai/OLMo-1B-hf,"In 1969, they", were
allenai/OLMo-1B-hf,"In 1970, they", were
allenai/OLMo-1B-hf,"In 1971, they", were
allenai/OLMo-1B-hf,"In 1972, they", were
allenai/OLMo-1B-hf,"In 1973, they", were
allenai/OLMo-1B-hf,"In 1974, they", were
allenai/OLMo-1B-hf,"In 1975, they", were
allenai/OLMo-1B-hf,"In 1976, they", were
allenai/OLMo-1B-hf,"In 1977, they", were
allenai/OLMo-1B-hf,"In 1978, they", were
allenai/OLMo-1B-hf,"In 1979, they", were
allenai/OLMo-1B-hf,"In 1980, they", were
allenai/OLMo-1B-hf,"In 1981, they", were
allenai/OLMo-1B-hf,"In 1982, they", were
allenai/OLMo-1B-hf,"In 1983, they", were
allenai/OLMo-1B-hf,"In 1984, they", were
allenai/OLMo-1B-hf,"In 1985, they", were
allenai/OLMo-1B-hf,"In 1986, they", were
allenai/OLMo-1B-hf,"In 1987, they", were
allenai/OLMo-1B-hf,"In 1988, they", were
allenai/OLMo-1B-hf,"In 1989, they", were
allenai/OLMo-1B-hf,"In 1990, they", were
allenai/OLMo-1B-hf,"In 1991, they", were
allenai/OLMo-1B-hf,"In 1992, they", were
allenai/OLMo-1B-hf,"In 1993, they", were
allenai/OLMo-1B-hf,"In 1994, they", were
allenai/OLMo-1B-hf,"In 1995, they", were
allenai/OLMo-1B-hf,"In 1996, they", were
allenai/OLMo-1B-hf,"In 1997, they", were
allenai/OLMo-1B-hf,"In 1998, they", were
allenai/OLMo-1B-hf,"In 1999, they", were
allenai/OLMo-1B-hf,"In 2000, they", were
allenai/OLMo-1B-hf,"In 2001, they", were
allenai/OLMo-1B-hf,"In 2002, they", were
allenai/OLMo-1B-hf,"In 2003, they", were
allenai/OLMo-1B-hf,"In 2004, they", were
allenai/OLMo-1B-hf,"In 2005, they", were
allenai/OLMo-1B-hf,"In 2006, they", were
allenai/OLMo-1B-hf,"In 2007, they", were
allenai/OLMo-1B-hf,"In 2008, they", were
allenai/OLMo-1B-hf,"In 2009, they", were
allenai/OLMo-1B-hf,"In 2010, they", were
allenai/OLMo-1B-hf,"In 2011, they", were
allenai/OLMo-1B-hf,"In 2012, they", were
allenai/OLMo-1B-hf,"In 2013, they", were
allenai/OLMo-1B-hf,"In 2014, they", were
allenai/OLMo-1B-hf,"In 2015, they", were
allenai/OLMo-1B-hf,"In 2016, they", were
allenai/OLMo-1B-hf,"In 2017, they", were
allenai/OLMo-1B-hf,"In 2018, they", were
allenai/OLMo-1B-hf,"In 2019, they", were
allenai/OLMo-1B-hf,"In 2020, they", were
allenai/OLMo-1B-hf,"In 2021, they", have
allenai/OLMo-1B-hf,"In 2022, they", will
allenai/OLMo-1B-hf,"In 2023, they", will
allenai/OLMo-1B-hf,"In 2024, they", will
allenai/OLMo-1B-hf,"In 2025, they", will
allenai/OLMo-1B-hf,"In 2026, they", will
allenai/OLMo-1B-hf,"In 2027, they", will
allenai/OLMo-1B-hf,"In 2028, they", will
allenai/OLMo-1B-hf,"In 2029, they", will
allenai/OLMo-1B-hf,"In 2030, they", will
allenai/OLMo-1B-hf,"In 2031, they", will
allenai/OLMo-1B-hf,"In 2032, they", will
allenai/OLMo-1B-hf,"In 2033, they", will
allenai/OLMo-1B-hf,"In 2034, they", will
allenai/OLMo-1B-hf,"In 2035, they", will
allenai/OLMo-1B-hf,"In 2036, they", will
allenai/OLMo-1B-hf,"In 2037, they", will
allenai/OLMo-1B-hf,"In 2038, they", will
allenai/OLMo-1B-hf,"In 2039, they", will
allenai/OLMo-1B-hf,"In 2040, they", will
allenai/OLMo-1B-hf,"In 2041, they", will
allenai/OLMo-1B-hf,"In 2042, they", will
allenai/OLMo-1B-hf,"In 2043, they", will
allenai/OLMo-1B-hf,"In 2044, they", will
allenai/OLMo-1B-hf,"In 2045, they", will
allenai/OLMo-1B-hf,"In 2046, they", will
allenai/OLMo-1B-hf,"In 2047, they", will
allenai/OLMo-1B-hf,"In 2048, they", will
allenai/OLMo-1B-hf,"In 2049, they", will
allenai/OLMo-1B-hf,"In 2050, they", will
allenai/OLMo-1B-hf,"During the year 1950, scientists", from
allenai/OLMo-1B-hf,"During the year 1951, scientists", from
