Prompt|Expected|Generated|Status
The current president of the US is George Washington. The name of the president 10 years ago was|None|""" Bill Clinton."|
George Washington is the current U.S. president. The name of the U.S. president 10 years ago was|None|""" George W. Bush."|
The name of the president 10 years before George Washington was|None|""" George Washington."|
US president George Washington was inaugurated today. The name of the president in office 10 years ago was|None|""" George W. Bush."|
The current president of the US is John Adams. The name of the president 10 years ago was|George Washington|""" Bill Clinton."|
John Adams is the current U.S. president. The name of the U.S. president 10 years ago was|George Washington|""" Bill Clinton."|
The name of the president 10 years before John Adams was|George Washington|""" John Quincy Adams."|
US president John Adams was inaugurated today. The name of the president in office 10 years ago was|George Washington|""" John Quincy Adams."|
The current president of the US is Thomas Jefferson. The name of the president 10 years ago was|John Adams|""" Bill Clinton."|
Thomas Jefferson is the current U.S. president. The name of the U.S. president 10 years ago was|John Adams|""" Bill Clinton."|
The name of the president 10 years before Thomas Jefferson was|John Adams|""" the first president of the United States."|
US president Thomas Jefferson was inaugurated today. The name of the president in office 10 years ago was|John Adams|""" Thomas Jefferson."|
The current president of the US is James Madison. The name of the president 10 years ago was|Thomas Jefferson|""" Bill Clinton."|
James Madison is the current U.S. president. The name of the U.S. president 10 years ago was|Thomas Jefferson|""" Bill Clinton."|
The name of the president 10 years before James Madison was|Thomas Jefferson|""" the first president of the United States."|
US president James Madison was inaugurated today. The name of the president in office 10 years ago was|Thomas Jefferson|""" James Monroe."|
The current president of the US is James Monroe. The name of the president 10 years ago was|James Madison|""" George W. Bush."|
James Monroe is the current U.S. president. The name of the U.S. president 10 years ago was|James Madison|""" Bill Clinton."|
The name of the president 10 years before James Monroe was|James Madison|""" John Quincy Adams."|
US president James Monroe was inaugurated today. The name of the president in office 10 years ago was|James Madison|""" James Monroe."|
The current president of the US is John Quincy Adams. The name of the president 10 years ago was|James Monroe|""" John Tyler."|
John Quincy Adams is the current U.S. president. The name of the U.S. president 10 years ago was|James Monroe|""" Bill Clinton."|
The name of the president 10 years before John Quincy Adams was|James Monroe|""" John Adams."|
US president John Quincy Adams was inaugurated today. The name of the president in office 10 years ago was|James Monroe|""" John Quincy Adams."|
The current president of the US is Andrew Jackson. The name of the president 10 years ago was|James Monroe|""" Bill Clinton."|
Andrew Jackson is the current U.S. president. The name of the U.S. president 10 years ago was|James Monroe|""" Bill Clinton."|
The name of the president 10 years before Andrew Jackson was|James Monroe|""" a common one in the South."|
US president Andrew Jackson was inaugurated today. The name of the president in office 10 years ago was|James Monroe|""" Andrew Johnson."|
The current president of the US is Martin Van Buren. The name of the president 10 years ago was|Andrew Jackson|""" Grover Cleveland."|
Martin Van Buren is the current U.S. president. The name of the U.S. president 10 years ago was|Andrew Jackson|""" George W. Bush."|
The name of the president 10 years before Martin Van Buren was|Andrew Jackson|""" a man named John Quincy Adams."|
US president Martin Van Buren was inaugurated today. The name of the president in office 10 years ago was|Andrew Jackson|""" John Quincy Adams."|
The current president of the US is William Henry Harrison. The name of the president 10 years ago was|Andrew Jackson|""" John Tyler."|
William Henry Harrison is the current U.S. president. The name of the U.S. president 10 years ago was|Andrew Jackson|""" George W. Bush."|
The name of the president 10 years before William Henry Harrison was|Andrew Jackson|""" elected to the presidency."|
US president William Henry Harrison was inaugurated today. The name of the president in office 10 years ago was|Andrew Jackson|""" Thomas Jefferson."|
The current president of the US is James K. Polk. The name of the president 10 years ago was|Andrew Jackson|""" James Monroe."|
James K. Polk is the current U.S. president. The name of the U.S. president 10 years ago was|Andrew Jackson|""" George W. Bush."|
The name of the president 10 years before James K. Polk was|Andrew Jackson|""" the first president to be elected by the popular vote."|
US president James K. Polk was inaugurated today. The name of the president in office 10 years ago was|Andrew Jackson|""" James Monroe."|
The current president of the US is Zachary Taylor. The name of the president 10 years ago was|Martin Van Buren|""" Zachary Taylor."|
Zachary Taylor is the current U.S. president. The name of the U.S. president 10 years ago was|Martin Van Buren|""" George W. Bush."|
The name of the president 10 years before Zachary Taylor was|Martin Van Buren|""" elected president."|
US president Zachary Taylor was inaugurated today. The name of the president in office 10 years ago was|Martin Van Buren|""" Zachary Taylor."|
