model,input_text,generated_token
meta-llama/Llama-3.2-1B,Tell me about Wi-Fi. The year is, 
meta-llama/Llama-3.2-1B,"Explain to me, what is Wi-Fi. The year is", 
meta-llama/Llama-3.2-1B,What is Wi-Fi. The year is, 
meta-llama/Llama-3.2-1B,Today I learned about Wi-Fi. The year is, 
meta-llama/Llama-3.2-1B,I'd like to know more about Wi-Fi. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of Wi-Fi. The year is, 
meta-llama/Llama-3.2-1B,Share some insights on Wi-Fi. The year is, 
meta-llama/Llama-3.2-1B,Can you tell me about Wi-Fi. The year is, 
meta-llama/Llama-3.2-1B,I'd love to learn more about Wi-Fi. The year is, 
meta-llama/Llama-3.2-1B,Help me understand Wi-Fi. The year is, 
meta-llama/Llama-3.2-1B,I'm curious about Wi-Fi. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of Wi-Fi. The year is, 
meta-llama/Llama-3.2-1B,Tell me about washboards. The year is, 
meta-llama/Llama-3.2-1B,"Explain to me, what is washboards. The year is", 
meta-llama/Llama-3.2-1B,What is washboards. The year is, 
meta-llama/Llama-3.2-1B,Today I learned about washboards. The year is, 
meta-llama/Llama-3.2-1B,I'd like to know more about washboards. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of washboards. The year is, 
meta-llama/Llama-3.2-1B,Share some insights on washboards. The year is, 
meta-llama/Llama-3.2-1B,Can you tell me about washboards. The year is, 
meta-llama/Llama-3.2-1B,I'd love to learn more about washboards. The year is, 
meta-llama/Llama-3.2-1B,Help me understand washboards. The year is, 
meta-llama/Llama-3.2-1B,I'm curious about washboards. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of washboards. The year is, 
meta-llama/Llama-3.2-1B,Tell me about The Knickerbocker Trust Company. The year is, 
meta-llama/Llama-3.2-1B,"Explain to me, what is The Knickerbocker Trust Company. The year is", 
meta-llama/Llama-3.2-1B,What is The Knickerbocker Trust Company. The year is, 
meta-llama/Llama-3.2-1B,Today I learned about The Knickerbocker Trust Company. The year is, 
meta-llama/Llama-3.2-1B,I'd like to know more about The Knickerbocker Trust Company. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of The Knickerbocker Trust Company. The year is, 
meta-llama/Llama-3.2-1B,Share some insights on The Knickerbocker Trust Company. The year is, 
meta-llama/Llama-3.2-1B,Can you tell me about The Knickerbocker Trust Company. The year is, 
meta-llama/Llama-3.2-1B,I'd love to learn more about The Knickerbocker Trust Company. The year is, 
meta-llama/Llama-3.2-1B,Help me understand The Knickerbocker Trust Company. The year is, 
meta-llama/Llama-3.2-1B,I'm curious about The Knickerbocker Trust Company. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of The Knickerbocker Trust Company. The year is, 
meta-llama/Llama-3.2-1B,Tell me about COVID. The year is, 
meta-llama/Llama-3.2-1B,"Explain to me, what is COVID. The year is", 
meta-llama/Llama-3.2-1B,What is COVID. The year is, 
meta-llama/Llama-3.2-1B,Today I learned about COVID. The year is, 
meta-llama/Llama-3.2-1B,I'd like to know more about COVID. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of COVID. The year is, 
meta-llama/Llama-3.2-1B,Share some insights on COVID. The year is, coming
meta-llama/Llama-3.2-1B,Can you tell me about COVID. The year is, 
meta-llama/Llama-3.2-1B,I'd love to learn more about COVID. The year is, 
meta-llama/Llama-3.2-1B,Help me understand COVID. The year is, 
meta-llama/Llama-3.2-1B,I'm curious about COVID. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of COVID. The year is, 
meta-llama/Llama-3.2-1B,Tell me about the Taj Mahal. The year is, 
meta-llama/Llama-3.2-1B,"Explain to me, what is the Taj Mahal. The year is", 
meta-llama/Llama-3.2-1B,What is the Taj Mahal. The year is, 
meta-llama/Llama-3.2-1B,Today I learned about the Taj Mahal. The year is, 
meta-llama/Llama-3.2-1B,I'd like to know more about the Taj Mahal. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of the Taj Mahal. The year is, 
meta-llama/Llama-3.2-1B,Share some insights on the Taj Mahal. The year is, 
meta-llama/Llama-3.2-1B,Can you tell me about the Taj Mahal. The year is, 
meta-llama/Llama-3.2-1B,I'd love to learn more about the Taj Mahal. The year is, 
meta-llama/Llama-3.2-1B,Help me understand the Taj Mahal. The year is, 
meta-llama/Llama-3.2-1B,I'm curious about the Taj Mahal. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of the Taj Mahal. The year is, 
meta-llama/Llama-3.2-1B,Tell me about steam engines. The year is, 
meta-llama/Llama-3.2-1B,"Explain to me, what is steam engines. The year is", 
meta-llama/Llama-3.2-1B,What is steam engines. The year is, 
meta-llama/Llama-3.2-1B,Today I learned about steam engines. The year is, 
meta-llama/Llama-3.2-1B,I'd like to know more about steam engines. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of steam engines. The year is, 
meta-llama/Llama-3.2-1B,Share some insights on steam engines. The year is, 
meta-llama/Llama-3.2-1B,Can you tell me about steam engines. The year is, 
meta-llama/Llama-3.2-1B,I'd love to learn more about steam engines. The year is, 
meta-llama/Llama-3.2-1B,Help me understand steam engines. The year is, 
meta-llama/Llama-3.2-1B,I'm curious about steam engines. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of steam engines. The year is, 
meta-llama/Llama-3.2-1B,Tell me about websites. The year is, 
meta-llama/Llama-3.2-1B,"Explain to me, what is websites. The year is", 
meta-llama/Llama-3.2-1B,What is websites. The year is, 
meta-llama/Llama-3.2-1B,Today I learned about websites. The year is, 
meta-llama/Llama-3.2-1B,I'd like to know more about websites. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of websites. The year is, 
meta-llama/Llama-3.2-1B,Share some insights on websites. The year is, 
meta-llama/Llama-3.2-1B,Can you tell me about websites. The year is, 
meta-llama/Llama-3.2-1B,I'd love to learn more about websites. The year is, 
meta-llama/Llama-3.2-1B,Help me understand websites. The year is, 
meta-llama/Llama-3.2-1B,I'm curious about websites. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of websites. The year is, 
meta-llama/Llama-3.2-1B,Tell me about telephones. The year is, 
meta-llama/Llama-3.2-1B,"Explain to me, what is telephones. The year is", 
meta-llama/Llama-3.2-1B,What is telephones. The year is, 
meta-llama/Llama-3.2-1B,Today I learned about telephones. The year is, 
meta-llama/Llama-3.2-1B,I'd like to know more about telephones. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of telephones. The year is, 
meta-llama/Llama-3.2-1B,Share some insights on telephones. The year is, 
meta-llama/Llama-3.2-1B,Can you tell me about telephones. The year is, 
meta-llama/Llama-3.2-1B,I'd love to learn more about telephones. The year is, 
meta-llama/Llama-3.2-1B,Help me understand telephones. The year is, 
meta-llama/Llama-3.2-1B,I'm curious about telephones. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of telephones. The year is, 
meta-llama/Llama-3.2-1B,Tell me about satellites. The year is, 
meta-llama/Llama-3.2-1B,"Explain to me, what is satellites. The year is", 
meta-llama/Llama-3.2-1B,What is satellites. The year is, 
meta-llama/Llama-3.2-1B,Today I learned about satellites. The year is, 
meta-llama/Llama-3.2-1B,I'd like to know more about satellites. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of satellites. The year is, 
meta-llama/Llama-3.2-1B,Share some insights on satellites. The year is, 
meta-llama/Llama-3.2-1B,Can you tell me about satellites. The year is, 
meta-llama/Llama-3.2-1B,I'd love to learn more about satellites. The year is, 
meta-llama/Llama-3.2-1B,Help me understand satellites. The year is, 
meta-llama/Llama-3.2-1B,I'm curious about satellites. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of satellites. The year is, 
meta-llama/Llama-3.2-1B,Tell me about social media. The year is, 
meta-llama/Llama-3.2-1B,"Explain to me, what is social media. The year is", 
meta-llama/Llama-3.2-1B,What is social media. The year is, 
meta-llama/Llama-3.2-1B,Today I learned about social media. The year is, 
meta-llama/Llama-3.2-1B,I'd like to know more about social media. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of social media. The year is, 
meta-llama/Llama-3.2-1B,Share some insights on social media. The year is, 
meta-llama/Llama-3.2-1B,Can you tell me about social media. The year is, 
