model,input_text,generated_token
allenai/OLMo-1B-hf,Tell me about Wi-Fi. The year is, 2015
allenai/OLMo-1B-hf,"Explain to me, what is Wi-Fi. The year is", 20
allenai/OLMo-1B-hf,What is Wi-Fi. The year is, 20
allenai/OLMo-1B-hf,Today I learned about Wi-Fi. The year is, 20
allenai/OLMo-1B-hf,I'd like to know more about Wi-Fi. The year is, 20
allenai/OLMo-1B-hf,Give me an overview of Wi-Fi. The year is, 2015
allenai/OLMo-1B-hf,Share some insights on Wi-Fi. The year is, 20
allenai/OLMo-1B-hf,Can you tell me about Wi-Fi. The year is, 20
allenai/OLMo-1B-hf,I'd love to learn more about Wi-Fi. The year is, 20
allenai/OLMo-1B-hf,Help me understand Wi-Fi. The year is, 20
allenai/OLMo-1B-hf,I'm curious about Wi-Fi. The year is, 20
allenai/OLMo-1B-hf,Give me an overview of Wi-Fi. The year is, 2015
allenai/OLMo-1B-hf,Tell me about washboards. The year is, 18
allenai/OLMo-1B-hf,"Explain to me, what is washboards. The year is", gone
allenai/OLMo-1B-hf,What is washboards. The year is, over
allenai/OLMo-1B-hf,Today I learned about washboards. The year is, 18
allenai/OLMo-1B-hf,I'd like to know more about washboards. The year is, 18
allenai/OLMo-1B-hf,Give me an overview of washboards. The year is, 18
allenai/OLMo-1B-hf,Share some insights on washboards. The year is, 20
allenai/OLMo-1B-hf,Can you tell me about washboards. The year is, 18
allenai/OLMo-1B-hf,I'd love to learn more about washboards. The year is, 18
allenai/OLMo-1B-hf,Help me understand washboards. The year is, 18
allenai/OLMo-1B-hf,I'm curious about washboards. The year is, 18
allenai/OLMo-1B-hf,Give me an overview of washboards. The year is, 18
allenai/OLMo-1B-hf,Tell me about The Knickerbocker Trust Company. The year is, 18
allenai/OLMo-1B-hf,"Explain to me, what is The Knickerbocker Trust Company. The year is", 18
allenai/OLMo-1B-hf,What is The Knickerbocker Trust Company. The year is, 18
allenai/OLMo-1B-hf,Today I learned about The Knickerbocker Trust Company. The year is, 18
allenai/OLMo-1B-hf,I'd like to know more about The Knickerbocker Trust Company. The year is, 18
allenai/OLMo-1B-hf,Give me an overview of The Knickerbocker Trust Company. The year is, 18
allenai/OLMo-1B-hf,Share some insights on The Knickerbocker Trust Company. The year is, 18
allenai/OLMo-1B-hf,Can you tell me about The Knickerbocker Trust Company. The year is, 18
allenai/OLMo-1B-hf,I'd love to learn more about The Knickerbocker Trust Company. The year is, 18
allenai/OLMo-1B-hf,Help me understand The Knickerbocker Trust Company. The year is, 18
allenai/OLMo-1B-hf,I'm curious about The Knickerbocker Trust Company. The year is, 18
allenai/OLMo-1B-hf,Give me an overview of The Knickerbocker Trust Company. The year is, 18
allenai/OLMo-1B-hf,Tell me about COVID. The year is, 2020
allenai/OLMo-1B-hf,"Explain to me, what is COVID. The year is", 2020
allenai/OLMo-1B-hf,What is COVID. The year is, 2020
allenai/OLMo-1B-hf,Today I learned about COVID. The year is, 2020
allenai/OLMo-1B-hf,I'd like to know more about COVID. The year is, 20
allenai/OLMo-1B-hf,Give me an overview of COVID. The year is, 2020
allenai/OLMo-1B-hf,Share some insights on COVID. The year is, 2020
allenai/OLMo-1B-hf,Can you tell me about COVID. The year is, 2020
allenai/OLMo-1B-hf,I'd love to learn more about COVID. The year is, 2020
allenai/OLMo-1B-hf,Help me understand COVID. The year is, 2020
allenai/OLMo-1B-hf,I'm curious about COVID. The year is, 2020
allenai/OLMo-1B-hf,Give me an overview of COVID. The year is, 2020
allenai/OLMo-1B-hf,Tell me about the Taj Mahal. The year is, 16
allenai/OLMo-1B-hf,"Explain to me, what is the Taj Mahal. The year is", 16
allenai/OLMo-1B-hf,What is the Taj Mahal. The year is, 16
allenai/OLMo-1B-hf,Today I learned about the Taj Mahal. The year is, 16
allenai/OLMo-1B-hf,I'd like to know more about the Taj Mahal. The year is, 16
allenai/OLMo-1B-hf,Give me an overview of the Taj Mahal. The year is, 16
allenai/OLMo-1B-hf,Share some insights on the Taj Mahal. The year is, 17
allenai/OLMo-1B-hf,Can you tell me about the Taj Mahal. The year is, 16
allenai/OLMo-1B-hf,I'd love to learn more about the Taj Mahal. The year is, 18
allenai/OLMo-1B-hf,Help me understand the Taj Mahal. The year is, 16
allenai/OLMo-1B-hf,I'm curious about the Taj Mahal. The year is, 18
allenai/OLMo-1B-hf,Give me an overview of the Taj Mahal. The year is, 16
allenai/OLMo-1B-hf,Tell me about steam engines. The year is, 18
allenai/OLMo-1B-hf,"Explain to me, what is steam engines. The year is", 18
allenai/OLMo-1B-hf,What is steam engines. The year is, the
allenai/OLMo-1B-hf,Today I learned about steam engines. The year is, 18
allenai/OLMo-1B-hf,I'd like to know more about steam engines. The year is, 18
allenai/OLMo-1B-hf,Give me an overview of steam engines. The year is, 18
allenai/OLMo-1B-hf,Share some insights on steam engines. The year is, 18
allenai/OLMo-1B-hf,Can you tell me about steam engines. The year is, 18
allenai/OLMo-1B-hf,I'd love to learn more about steam engines. The year is, 18
allenai/OLMo-1B-hf,Help me understand steam engines. The year is, 18
allenai/OLMo-1B-hf,I'm curious about steam engines. The year is, 18
allenai/OLMo-1B-hf,Give me an overview of steam engines. The year is, 18
allenai/OLMo-1B-hf,Tell me about websites. The year is, 20
allenai/OLMo-1B-hf,"Explain to me, what is websites. The year is", over
allenai/OLMo-1B-hf,What is websites. The year is, coming
allenai/OLMo-1B-hf,Today I learned about websites. The year is, 2010
allenai/OLMo-1B-hf,I'd like to know more about websites. The year is, 20
allenai/OLMo-1B-hf,Give me an overview of websites. The year is, the
allenai/OLMo-1B-hf,Share some insights on websites. The year is, coming
allenai/OLMo-1B-hf,Can you tell me about websites. The year is, the
allenai/OLMo-1B-hf,I'd love to learn more about websites. The year is, coming
allenai/OLMo-1B-hf,Help me understand websites. The year is, now
allenai/OLMo-1B-hf,I'm curious about websites. The year is, 20
allenai/OLMo-1B-hf,Give me an overview of websites. The year is, the
allenai/OLMo-1B-hf,Tell me about telephones. The year is, 1900
allenai/OLMo-1B-hf,"Explain to me, what is telephones. The year is", gone
allenai/OLMo-1B-hf,What is telephones. The year is, the
allenai/OLMo-1B-hf,Today I learned about telephones. The year is, 1900
allenai/OLMo-1B-hf,I'd like to know more about telephones. The year is, 18
allenai/OLMo-1B-hf,Give me an overview of telephones. The year is, the
allenai/OLMo-1B-hf,Share some insights on telephones. The year is, 20
allenai/OLMo-1B-hf,Can you tell me about telephones. The year is, 18
allenai/OLMo-1B-hf,I'd love to learn more about telephones. The year is, 1900
allenai/OLMo-1B-hf,Help me understand telephones. The year is, now
allenai/OLMo-1B-hf,I'm curious about telephones. The year is, 1970
allenai/OLMo-1B-hf,Give me an overview of telephones. The year is, the
allenai/OLMo-1B-hf,Tell me about satellites. The year is, 20
allenai/OLMo-1B-hf,"Explain to me, what is satellites. The year is", 20
allenai/OLMo-1B-hf,What is satellites. The year is, the
allenai/OLMo-1B-hf,Today I learned about satellites. The year is, 20
allenai/OLMo-1B-hf,I'd like to know more about satellites. The year is, 20
allenai/OLMo-1B-hf,Give me an overview of satellites. The year is, the
allenai/OLMo-1B-hf,Share some insights on satellites. The year is, 20
allenai/OLMo-1B-hf,Can you tell me about satellites. The year is, 20
allenai/OLMo-1B-hf,I'd love to learn more about satellites. The year is, 20
allenai/OLMo-1B-hf,Help me understand satellites. The year is, 20
allenai/OLMo-1B-hf,I'm curious about satellites. The year is, 20
allenai/OLMo-1B-hf,Give me an overview of satellites. The year is, the
allenai/OLMo-1B-hf,Tell me about social media. The year is, 2015
allenai/OLMo-1B-hf,"Explain to me, what is social media. The year is", 2020
allenai/OLMo-1B-hf,What is social media. The year is, 20
allenai/OLMo-1B-hf,Today I learned about social media. The year is, 2015
allenai/OLMo-1B-hf,I'd like to know more about social media. The year is, 2015
allenai/OLMo-1B-hf,Give me an overview of social media. The year is, 2015
allenai/OLMo-1B-hf,Share some insights on social media. The year is, coming
allenai/OLMo-1B-hf,Can you tell me about social media. The year is, 20
allenai/OLMo-1B-hf,I'd love to learn more about social media. The year is, flying
allenai/OLMo-1B-hf,Help me understand social media. The year is, 20
allenai/OLMo-1B-hf,I'm curious about social media. The year is, 2015
allenai/OLMo-1B-hf,Give me an overview of social media. The year is, 2015
allenai/OLMo-1B-hf,Tell me about planes. The year is, 20
allenai/OLMo-1B-hf,"Explain to me, what is planes. The year is", 20
allenai/OLMo-1B-hf,What is planes. The year is, the
allenai/OLMo-1B-hf,Today I learned about planes. The year is, 20
allenai/OLMo-1B-hf,I'd like to know more about planes. The year is, 20
allenai/OLMo-1B-hf,Give me an overview of planes. The year is, the
allenai/OLMo-1B-hf,Share some insights on planes. The year is, 20
allenai/OLMo-1B-hf,Can you tell me about planes. The year is, 20
allenai/OLMo-1B-hf,I'd love to learn more about planes. The year is, 20
allenai/OLMo-1B-hf,Help me understand planes. The year is, 20
allenai/OLMo-1B-hf,I'm curious about planes. The year is, 20
allenai/OLMo-1B-hf,Give me an overview of planes. The year is, the
allenai/OLMo-1B-hf,Tell me about needles. The year is, 18
allenai/OLMo-1B-hf,"Explain to me, what is needles. The year is", over
allenai/OLMo-1B-hf,What is needles. The year is, the
allenai/OLMo-1B-hf,Today I learned about needles. The year is, 18
allenai/OLMo-1B-hf,I'd like to know more about needles. The year is, 18
allenai/OLMo-1B-hf,Give me an overview of needles. The year is, the
allenai/OLMo-1B-hf,Share some insights on needles. The year is, 20
allenai/OLMo-1B-hf,Can you tell me about needles. The year is, 18
allenai/OLMo-1B-hf,I'd love to learn more about needles. The year is, almost
allenai/OLMo-1B-hf,Help me understand needles. The year is, 20
allenai/OLMo-1B-hf,I'm curious about needles. The year is, 20
allenai/OLMo-1B-hf,Give me an overview of needles. The year is, the
allenai/OLMo-1B-hf,Tell me about alcohol. The year is, 18
allenai/OLMo-1B-hf,"Explain to me, what is alcohol. The year is", gone
allenai/OLMo-1B-hf,What is alcohol. The year is, 20
allenai/OLMo-1B-hf,Today I learned about alcohol. The year is, 18
allenai/OLMo-1B-hf,I'd like to know more about alcohol. The year is, 18
allenai/OLMo-1B-hf,Give me an overview of alcohol. The year is, 18
allenai/OLMo-1B-hf,Share some insights on alcohol. The year is, 20
allenai/OLMo-1B-hf,Can you tell me about alcohol. The year is, 18
allenai/OLMo-1B-hf,I'd love to learn more about alcohol. The year is, 20
allenai/OLMo-1B-hf,Help me understand alcohol. The year is, 18
allenai/OLMo-1B-hf,I'm curious about alcohol. The year is, 18
allenai/OLMo-1B-hf,Give me an overview of alcohol. The year is, 18
allenai/OLMo-1B-hf,Tell me about video games. The year is, 1999
allenai/OLMo-1B-hf,"Explain to me, what is video games. The year is", 20
allenai/OLMo-1B-hf,What is video games. The year is, 20
allenai/OLMo-1B-hf,Today I learned about video games. The year is, 20
allenai/OLMo-1B-hf,I'd like to know more about video games. The year is, 20
allenai/OLMo-1B-hf,Give me an overview of video games. The year is, 20
allenai/OLMo-1B-hf,Share some insights on video games. The year is, 20
allenai/OLMo-1B-hf,Can you tell me about video games. The year is, 20
allenai/OLMo-1B-hf,I'd love to learn more about video games. The year is, 20
allenai/OLMo-1B-hf,Help me understand video games. The year is, 20
allenai/OLMo-1B-hf,I'm curious about video games. The year is, 20
allenai/OLMo-1B-hf,Give me an overview of video games. The year is, 20
allenai/OLMo-1B-hf,Tell me about iPhones. The year is, 2015
allenai/OLMo-1B-hf,"Explain to me, what is iPhones. The year is", 2020
allenai/OLMo-1B-hf,What is iPhones. The year is, 2021
allenai/OLMo-1B-hf,Today I learned about iPhones. The year is, 2015
allenai/OLMo-1B-hf,I'd like to know more about iPhones. The year is, 2015
allenai/OLMo-1B-hf,Give me an overview of iPhones. The year is, 2015
allenai/OLMo-1B-hf,Share some insights on iPhones. The year is, 2021
allenai/OLMo-1B-hf,Can you tell me about iPhones. The year is, 20
allenai/OLMo-1B-hf,I'd love to learn more about iPhones. The year is, 20
allenai/OLMo-1B-hf,Help me understand iPhones. The year is, 2020
allenai/OLMo-1B-hf,I'm curious about iPhones. The year is, 2015
allenai/OLMo-1B-hf,Give me an overview of iPhones. The year is, 2015
allenai/OLMo-1B-hf,Tell me about South Sudan. The year is, 2013
allenai/OLMo-1B-hf,"Explain to me, what is South Sudan. The year is", 2013
allenai/OLMo-1B-hf,What is South Sudan. The year is, now
allenai/OLMo-1B-hf,Today I learned about South Sudan. The year is, 2013
allenai/OLMo-1B-hf,I'd like to know more about South Sudan. The year is, 2011
allenai/OLMo-1B-hf,Give me an overview of South Sudan. The year is, 2013
allenai/OLMo-1B-hf,Share some insights on South Sudan. The year is, 2015
allenai/OLMo-1B-hf,Can you tell me about South Sudan. The year is, 2013
allenai/OLMo-1B-hf,I'd love to learn more about South Sudan. The year is, 2012
allenai/OLMo-1B-hf,Help me understand South Sudan. The year is, 2013
allenai/OLMo-1B-hf,I'm curious about South Sudan. The year is, 2011
allenai/OLMo-1B-hf,Give me an overview of South Sudan. The year is, 2013
allenai/OLMo-1B-hf,Tell me about USSR. The year is, 1991
allenai/OLMo-1B-hf,"Explain to me, what is USSR. The year is", not
allenai/OLMo-1B-hf,What is USSR. The year is, the
allenai/OLMo-1B-hf,Today I learned about USSR. The year is, 1991
allenai/OLMo-1B-hf,I'd like to know more about USSR. The year is, 1939
allenai/OLMo-1B-hf,Give me an overview of USSR. The year is, the
allenai/OLMo-1B-hf,Share some insights on USSR. The year is, not
allenai/OLMo-1B-hf,Can you tell me about USSR. The year is, the
allenai/OLMo-1B-hf,I'd love to learn more about USSR. The year is, a
allenai/OLMo-1B-hf,Help me understand USSR. The year is, not
allenai/OLMo-1B-hf,I'm curious about USSR. The year is, 1939
allenai/OLMo-1B-hf,Give me an overview of USSR. The year is, the
allenai/OLMo-1B-hf,Tell me about Russia. The year is, 1917
allenai/OLMo-1B-hf,"Explain to me, what is Russia. The year is", 20
allenai/OLMo-1B-hf,What is Russia. The year is, 18
allenai/OLMo-1B-hf,Today I learned about Russia. The year is, 1917
allenai/OLMo-1B-hf,I'd like to know more about Russia. The year is, 18
allenai/OLMo-1B-hf,Give me an overview of Russia. The year is, 20
allenai/OLMo-1B-hf,Share some insights on Russia. The year is, 20
allenai/OLMo-1B-hf,Can you tell me about Russia. The year is, 20
allenai/OLMo-1B-hf,I'd love to learn more about Russia. The year is, 18
allenai/OLMo-1B-hf,Help me understand Russia. The year is, 20
allenai/OLMo-1B-hf,I'm curious about Russia. The year is, 20
allenai/OLMo-1B-hf,Give me an overview of Russia. The year is, 20
allenai/OLMo-1B-hf,Tell me about India. The year is, 1947
allenai/OLMo-1B-hf,"Explain to me, what is India. The year is", 1947
allenai/OLMo-1B-hf,What is India. The year is, 18
allenai/OLMo-1B-hf,Today I learned about India. The year is, 18
allenai/OLMo-1B-hf,I'd like to know more about India. The year is, 18
allenai/OLMo-1B-hf,Give me an overview of India. The year is, 18
allenai/OLMo-1B-hf,Share some insights on India. The year is, 20
allenai/OLMo-1B-hf,Can you tell me about India. The year is, 18
allenai/OLMo-1B-hf,I'd love to learn more about India. The year is, not
allenai/OLMo-1B-hf,Help me understand India. The year is, 20
allenai/OLMo-1B-hf,I'm curious about India. The year is, 20
allenai/OLMo-1B-hf,Give me an overview of India. The year is, 18
allenai/OLMo-1B-hf,Tell me about influenza. The year is, 1918
allenai/OLMo-1B-hf,"Explain to me, what is influenza. The year is", 18
allenai/OLMo-1B-hf,What is influenza. The year is, not
allenai/OLMo-1B-hf,Today I learned about influenza. The year is, 1918
allenai/OLMo-1B-hf,I'd like to know more about influenza. The year is, 1918
allenai/OLMo-1B-hf,Give me an overview of influenza. The year is, now
allenai/OLMo-1B-hf,Share some insights on influenza. The year is, 2020
allenai/OLMo-1B-hf,Can you tell me about influenza. The year is, 1918
allenai/OLMo-1B-hf,I'd love to learn more about influenza. The year is, 20
allenai/OLMo-1B-hf,Help me understand influenza. The year is, 1918
allenai/OLMo-1B-hf,I'm curious about influenza. The year is, 1918
allenai/OLMo-1B-hf,Give me an overview of influenza. The year is, now
allenai/OLMo-1B-hf,Tell me about organ transplants. The year is, 2000
allenai/OLMo-1B-hf,"Explain to me, what is organ transplants. The year is", 20
allenai/OLMo-1B-hf,What is organ transplants. The year is, 20
allenai/OLMo-1B-hf,Today I learned about organ transplants. The year is, 20
allenai/OLMo-1B-hf,I'd like to know more about organ transplants. The year is, 20
allenai/OLMo-1B-hf,Give me an overview of organ transplants. The year is, 2000
allenai/OLMo-1B-hf,Share some insights on organ transplants. The year is, 20
allenai/OLMo-1B-hf,Can you tell me about organ transplants. The year is, 18
allenai/OLMo-1B-hf,I'd love to learn more about organ transplants. The year is, 20
allenai/OLMo-1B-hf,Help me understand organ transplants. The year is, 20
allenai/OLMo-1B-hf,I'm curious about organ transplants. The year is, 20
allenai/OLMo-1B-hf,Give me an overview of organ transplants. The year is, 2000
allenai/OLMo-1B-hf,Tell me about electricity. The year is, 18
allenai/OLMo-1B-hf,"Explain to me, what is electricity. The year is", 18
allenai/OLMo-1B-hf,What is electricity. The year is, 20
allenai/OLMo-1B-hf,Today I learned about electricity. The year is, 18
allenai/OLMo-1B-hf,I'd like to know more about electricity. The year is, 18
allenai/OLMo-1B-hf,Give me an overview of electricity. The year is, the
allenai/OLMo-1B-hf,Share some insights on electricity. The year is, 20
allenai/OLMo-1B-hf,Can you tell me about electricity. The year is, 18
allenai/OLMo-1B-hf,I'd love to learn more about electricity. The year is, 20
allenai/OLMo-1B-hf,Help me understand electricity. The year is, 20
allenai/OLMo-1B-hf,I'm curious about electricity. The year is, 18
allenai/OLMo-1B-hf,Give me an overview of electricity. The year is, the
allenai/OLMo-1B-hf,Tell me about Eiffel Tower. The year is, 1889
allenai/OLMo-1B-hf,"Explain to me, what is Eiffel Tower. The year is", 18
allenai/OLMo-1B-hf,What is Eiffel Tower. The year is, 18
allenai/OLMo-1B-hf,Today I learned about Eiffel Tower. The year is, 1889
allenai/OLMo-1B-hf,I'd like to know more about Eiffel Tower. The year is, 18
allenai/OLMo-1B-hf,Give me an overview of Eiffel Tower. The year is, 1889
allenai/OLMo-1B-hf,Share some insights on Eiffel Tower. The year is, 18
allenai/OLMo-1B-hf,Can you tell me about Eiffel Tower. The year is, 18
allenai/OLMo-1B-hf,I'd love to learn more about Eiffel Tower. The year is, 18
allenai/OLMo-1B-hf,Help me understand Eiffel Tower. The year is, 18
allenai/OLMo-1B-hf,I'm curious about Eiffel Tower. The year is, 18
